model,num_rules,seed,accuracy,omission_pct,modification_pct,recency_ratio,latency
anthropic/claude-3.5-haiku,50,0,74.0,84.61538461538461,15.384615384615385,2.0,10.302447080612184
openai/o3,50,0,98.0,0.0,100.0,,19.68144392967224
anthropic/claude-opus-4,40,0,97.5,100.0,0.0,0.0,50.96040606498718
google/gemini-2.5-flash-preview-05-20,40,0,97.5,100.0,0.0,,8.298349142074585
openai/o4-mini,50,0,100.0,0.0,0.0,,30.16097402572632
anthropic/claude-sonnet-4,50,0,100.0,0.0,0.0,,17.383180856704712
anthropic/claude-3.7-sonnet,50,0,98.0,0.0,100.0,0.0,22.59964609146118
openai/gpt-4.1-mini,50,0,96.0,0.0,100.0,,13.696094989776611
x-ai/grok-3-beta,50,0,100.0,0.0,0.0,,22.98882102966309
openai/gpt-4.1,50,0,96.0,0.0,100.0,,15.399169921875
openai/gpt-4o,50,0,84.0,25.0,75.0,,14.643631219863892
google/gemini-2.5-pro-preview,50,0,100.0,0.0,0.0,,32.93868684768677
google/gemini-2.5-flash-preview-05-20,50,0,98.0,100.0,0.0,,8.59221887588501
openai/o3,60,0,98.33333333333333,100.0,0.0,,20.22411322593689
openai/gpt-4.1-mini,60,0,91.66666666666666,40.0,60.0,0.5,13.631277084350586
openai/gpt-4.1,60,0,98.33333333333333,100.0,0.0,0.0,14.858588933944702
openai/gpt-4o,60,0,58.333333333333336,68.0,32.0,1.3333333333333335,17.065681219100952
meta-llama/llama-4-scout,50,0,48.0,88.46153846153845,11.538461538461538,1.6,26.050714254379272
openai/gpt-4.1-nano,50,0,74.0,69.23076923076923,30.76923076923077,2.0,5.923299074172974
meta-llama/llama-4-maverick,50,0,70.0,93.33333333333333,6.666666666666667,4.0,1.9316911697387695
qwen/qwen3-235b-a22b,40,0,90.0,0.0,100.0,,67.81025886535645
openai/o4-mini,40,0,100.0,0.0,0.0,,29.233842849731445
anthropic/claude-3.5-haiku,60,0,68.33333333333333,78.94736842105263,21.052631578947366,2.0,11.102473974227903
google/gemini-2.5-flash-preview-05-20,60,0,88.33333333333333,85.71428571428571,14.285714285714285,2.0,8.349701166152954
deepseek/deepseek-r1-0528,50,0,98.0,100.0,0.0,,50.906118869781494
x-ai/grok-3-mini-beta,60,0,98.33333333333333,0.0,100.0,,11.218032836914062
openai/gpt-4o-mini,60,0,58.333333333333336,72.0,28.000000000000004,1.6666666666666667,12.55254888534546
meta-llama/llama-4-scout,60,0,41.66666666666667,91.42857142857143,8.571428571428571,1.8333333333333335,7.033113241195679
x-ai/grok-3-beta,60,0,98.33333333333333,0.0,100.0,,16.87812614440918
anthropic/claude-3.7-sonnet,60,0,96.66666666666667,100.0,0.0,,31.064414978027344
